LogQ(1),age(2),Tot[O]+12(3),gas[O]+12(4),Tot[Fe](5),gas[Fe](6),LogP/k(7),[NII]/Ha(8),[NII]+/Ha(9),[SII]+/Ha(10),[NII]/[OII]+(11),[NII]+/[OII]+(12),[NII]/[SII]+(13),[NII]+/[SII]+(14),[OII]+/Hb(15),[OIII]/Hb(16),[OIII]+/Hb(17),[OIII]/[OII]+(18),[OIII]+/[OII]+(19),[OIII]/[SII]+(20),[OIII]+/[SII]+(21),4363/[OIII](22),4363/[OIII]+(23),[OI]/[OII]+(24),[OII]+/[SII]+(25),R23(26),S23(27),6716/6731(28),3729/3726(29),Hbeta_abs(30),HBeta(31),Rout(32),Rmax(33),Remp(34),[NII]+/Hb(35),Ha/Hb(36)
 6.5000, 10.0000,  8.1700,  8.0600,  6.8100,  5.3100,  6.0000, -0.4676, -0.3405, -0.4441, -0.5979, -0.4708, -0.0235,  0.1036,  0.5925, -1.1587, -1.0296, -1.7512, -1.6221, -1.1768, -1.0478,    -inf,    -inf, -1.3050,  0.5744,  0.6027,  0.1712,  0.1435,  0.1426, 170467806238557225967597649920.0000, 12222200000000000467324382145140490240.0000, 1000000000000000.0000, 116200000000000000000.0000, 115900000000000000000.0000,  0.1217,  0.4622
 6.5000, 10.0000,  8.4700,  8.3600,  7.1100,  5.6100,  6.0000, -0.2167, -0.0896, -0.1804, -0.5498, -0.4228, -0.0363,  0.0908,  0.7950, -0.7541, -0.6251, -1.5491, -1.4200, -1.0355, -0.9065, -2.1470, -2.2760, -1.1912,  0.5135,  0.8112,  0.4389,  0.1434,  0.1413, 119318776481709700850487656448.0000, 8543599999999999555077377641058140160.0000, 900000000000000.0000, 97620000000000000000.0000, 97350000000000000000.0000,  0.3722,  0.4618
 6.5000, 10.0000,  8.8700,  8.7600,  7.5100,  6.0100,  6.0000,  0.0082,  0.1353,  0.0489, -0.4182, -0.2911, -0.0407,  0.0864,  0.8893, -0.6157, -0.4866, -1.5050, -1.3759, -1.1275, -0.9984,    -inf,    -inf, -1.0739,  0.3775,  0.9072,  0.6814,  0.1408,  0.1365, 97357696329463504294348062720.0000, 6965350000000000157337988211549405184.0000, 900000000000000.0000, 88740000000000000000.0000, 88470000000000000000.0000,  0.5982,  0.4629
 6.5000, 10.0000,  9.1700,  9.0600,  7.8100,  6.3100,  6.0000,  0.0837,  0.2108,  0.1346, -0.2596, -0.1325, -0.0509,  0.0762,  0.8115, -0.6121, -0.4831, -1.4236, -1.2945, -1.2149, -1.0858,    -inf,    -inf, -0.9626,  0.2087,  0.8330,  0.7852,  0.1365,  0.1300, 79300986236844052204138528768.0000, 5668389999999999410918441605998313472.0000, 900000000000000.0000, 80720000000000000000.0000, 80450000000000000000.0000,  0.6789,  0.4681
 6.5000, 32.0000,  7.5700,  7.4600,  6.2100,  4.7100,  6.0000, -1.0077, -0.8807, -0.9838, -0.6330, -0.5060, -0.0239,  0.1032,  0.0986, -1.4190, -1.2900, -1.5176, -1.3886, -0.9085, -0.7795,    -inf,    -inf, -1.2024,  0.6091,  0.1160, -0.3478,  0.1456,  0.1448, 44318273453020647112621162496.0000, 3155849999999999734309313122616213504.0000, 900000000000000.0000, 58500000000000000000.0000, 58230000000000000000.0000, -0.4073,  0.4733
 6.5000, 32.0000,  8.1700,  8.0600,  6.8100,  5.3100,  6.0000, -0.4547, -0.3277, -0.4497, -0.6040, -0.4769, -0.0050,  0.1220,  0.6125, -1.1498, -1.0207, -1.7623, -1.6333, -1.1634, -1.0343,    -inf,    -inf, -1.2940,  0.5989,  0.6225,  0.1788,  0.1438,  0.1430, 38382271073923548732863807488.0000, 2730769999999999720297063056211443712.0000, 866666666666666.6250, 55000000000000000000.0000, 54740000000000000000.0000,  0.1356,  0.4633
 6.5000, 32.0000,  8.4700,  8.3600,  7.1100,  5.6100,  6.0000, -0.2132, -0.0861, -0.2064, -0.5554, -0.4283, -0.0068,  0.1202,  0.8034, -0.9047, -0.7757, -1.7081, -1.5791, -1.1596, -1.0305,    -inf,    -inf, -1.2377,  0.5486,  0.8147,  0.4257,  0.1431,  0.1413, 38736949511561921537599602688.0000, 2756380000000000155128389812359266304.0000, 900000000000000.0000, 55520000000000000000.0000, 55250000000000000000.0000,  0.3751,  0.4612
 6.5000, 32.0000,  8.8700,  8.7600,  7.5100,  6.0100,  6.0000, -0.0097,  0.1174, -0.0112, -0.4192, -0.2921,  0.0015,  0.1286,  0.8723, -0.8897, -0.7606, -1.7620, -1.6330, -1.3413, -1.2122,    -inf,    -inf, -1.1656,  0.4207,  0.8823,  0.6414,  0.1396,  0.1357, 38846006543095371605259321344.0000, 2764359999999999781228217168339927040.0000, 900000000000000.0000, 55840000000000000000.0000, 55570000000000000000.0000,  0.5802,  0.4629
 6.5000, 32.0000,  9.1700,  9.0600,  7.8100,  6.3100,  6.0000, -0.0121,  0.1149,  0.0069, -0.2199, -0.0928, -0.0191,  0.1080,  0.6780, -1.0465, -0.9174, -1.7244, -1.5954, -1.5236, -1.3946,    -inf,    -inf, -1.0626,  0.2008,  0.6889,  0.6778,  0.1329,  0.1263, 39820987202925043242451861504.0000, 2834349999999999803976574443741773824.0000, 900000000000000.0000, 56680000000000000000.0000, 56410000000000000000.0000,  0.5851,  0.4702
 6.5000, 100.0000,  7.5700,  7.4600,  6.2100,  4.7100,  6.0000, -1.0140, -0.8869, -1.0133, -0.6391, -0.5120, -0.0006,  0.1264,  0.0919, -1.7624, -1.6333, -1.8543, -1.7253, -1.2159, -1.0868,    -inf,    -inf, -1.3414,  0.6384,  0.1000, -0.3847,  0.1444,  0.1442, 17407854637456155546298089472.0000, 1229520000000000026101364994869297152.0000, 866666666666666.6250, 36740000000000000000.0000, 36480000000000000000.0000, -0.4201,  0.4668
