#Field    ID    z    logM    logSFR   beta_obs   beta_obs_err   beta_SED    foiii    eoiii    EW_oiii_obs    fhb    ehb    fhanii    ehanii    EW_hanii_obs    fsii    esii    foii    eoii    AGN_flag   n_UV_filt   L_2800_sun_obs   L_2800_sun_SED
aegis   05315   1.39390    9.93    0.72    -1.04     0.29   -0.83     4.67000e-17  2.08000e-17      212.000  3.54000e-17  2.34000e-17  8.16000e-17  1.56000e-17      247.000  4.18000e-18  1.22000e-17     -1.00000     -1.00000       0       3  4.68115e+09  5.20765e+09
aegis   05499   1.45350    9.22    0.79    -1.92     0.26   -1.97     2.13000e-16  9.83000e-18      732.000  3.81000e-17  8.86000e-18  1.19000e-16  5.61000e-18      704.000  9.65000e-18  6.40000e-18     -1.00000     -1.00000       0       4  1.43646e+10  1.46483e+10
aegis   06574   1.49050    9.55    0.56    -1.20     0.29   -1.24     3.60000e-17  8.93000e-18      165.000      0.00000  6.33000e-19  3.25000e-17  7.26000e-18      222.000  1.89000e-17  1.14000e-17     -1.00000     -1.00000       0       4  5.30320e+09  5.70530e+09
aegis   06601   1.36390   10.16    0.87    -1.27     0.27   -1.29     4.33000e-17  2.52000e-17      62.0000      0.00000  1.07000e-18  1.07000e-16  1.86000e-17      185.000  5.29000e-17  1.67000e-17     -1.00000     -1.00000       0       3  1.34749e+10  1.48103e+10
aegis   06773   1.38890    8.33   -0.39    -2.42     0.41   -2.02     3.87000e-17  9.34000e-18      923.000      0.00000  7.19000e-19  2.09000e-17  4.91000e-18      1060.00  1.93000e-18  5.11000e-18     -1.00000     -1.00000       0       3  1.05134e+09  1.16079e+09
aegis   06892   1.35360    9.55    0.44    -1.83     0.28   -1.69     3.56000e-17  1.46000e-17      106.000      0.00000  9.47000e-19  4.57000e-17  8.96000e-18      219.000  1.46000e-18  7.34000e-18     -1.00000     -1.00000       0       3  6.90245e+09  7.10544e+09
aegis   07119   1.34350    9.42    0.60    -1.39     0.29   -1.38     3.83000e-17  1.21000e-17      141.000  7.25000e-18  1.15000e-17  2.39000e-17  5.73000e-18      108.000  2.32000e-18  6.05000e-18     -1.00000     -1.00000       0       3  4.99670e+09  5.22012e+09
aegis   07636   1.38920   10.79    1.19     0.57     0.50    1.42     2.26000e-17  1.64000e-17      84.6000  1.76000e-17  1.56000e-17  1.13000e-16  1.14000e-17      316.000  3.72000e-17  9.52000e-18     -1.00000     -1.00000       0       3  3.01363e+09  2.80477e+09
aegis   07904   1.41330   10.25    0.95    -1.19     0.28   -0.96     6.94000e-17  2.04000e-17      149.000  6.20000e-18  2.01000e-17  9.08000e-17  1.45000e-17      209.000  2.25000e-17  1.21000e-17     -1.00000     -1.00000       0       4  6.59323e+09  7.31597e+09
aegis   07982   1.34600    9.36    0.44    -1.89     0.27   -2.14     2.96000e-17  1.06000e-17      137.000  4.88000e-18  9.77000e-18  2.09000e-17  4.94000e-18      127.000  7.22000e-18  5.20000e-18     -1.00000     -1.00000       0       3  6.66553e+09  6.70419e+09
aegis   08044   1.34400    9.23    0.44    -2.02     0.27   -1.72     2.86000e-17  1.42000e-17      148.000      0.00000  4.23000e-19  6.34000e-17  7.41000e-18      868.000  2.77000e-17  7.76000e-18     -1.00000     -1.00000       0       3  5.92693e+09  6.50418e+09
aegis   08169   1.35850    9.26    0.46    -2.07     0.26   -1.68     6.33000e-17  9.30000e-18      246.000  1.80000e-17  8.40000e-18  3.35000e-17  4.43000e-18      282.000  7.65000e-18  4.55000e-18     -1.00000     -1.00000       0       3  8.23378e+09  9.28871e+09
aegis   08880   1.35660    9.91    0.68    -1.28     0.29   -1.20     1.66000e-17  1.78000e-17      86.0000  3.98000e-17  1.90000e-17  6.81000e-17  1.29000e-17      346.000  8.52000e-18  1.09000e-17     -1.00000     -1.00000       0       3  4.50108e+09  4.72889e+09
aegis   09145   1.47460    7.90   -0.22    -2.60     0.34   -2.26     5.40000e-17  6.40000e-18      365.000  1.60000e-17  5.70000e-18  1.88000e-17  3.91000e-18      122.000  9.60000e-18  5.88000e-18     -1.00000     -1.00000       0       4  1.66829e+09  1.93008e+09
aegis   09288   1.39840    8.85    0.10    -2.20     0.28   -2.10     3.94000e-17  1.22000e-17      324.000  1.59000e-17  1.12000e-17  3.21000e-17  6.42000e-18      373.000  6.85000e-18  7.27000e-18     -1.00000     -1.00000       0       3  3.74880e+09  3.76144e+09
aegis   09339   1.39690    8.96    0.73    -1.64     0.29   -1.56     7.49000e-17  1.10000e-17      422.000  3.94000e-17  1.01000e-17  5.55000e-17  6.30000e-18      945.000  1.18000e-17  5.48000e-18     -1.00000     -1.00000       0       3  3.78566e+09  4.55033e+09
aegis   09390   1.33730    8.06   -0.01    -2.52     0.30   -2.43     7.35000e-17  8.63000e-18      966.000  2.63000e-17  7.78000e-18  2.36000e-17  4.01000e-18      770.000  2.22000e-18  4.24000e-18     -1.00000     -1.00000       0       3  2.27900e+09  2.53761e+09
aegis   09894   1.39040   10.72    0.98    -0.08     0.39   -0.33     5.68000e-17  2.34000e-17      104.000      0.00000  6.67000e-19  1.11000e-16  1.86000e-17      210.000  2.03000e-17  1.47000e-17     -1.00000     -1.00000       0       3  4.17548e+09  4.28106e+09
