#Field    ID    z    logM    logSFR   beta_obs   beta_obs_err   beta_SED    foiii    eoiii    EW_oiii_obs    fhb    ehb    fhanii    ehanii    EW_hanii_obs    fsii    esii    foii    eoii    fsiii_9069    esiii_9069    fsiii_9532    esiii_9532    AGN_flag    grism_flag
Par5   39   0.70830   10.16    1.83   -99.00   -99.00   -99.00     1.15500e-16  6.95799e-17      23.3500  1.03000e-16  8.73300e-17  2.05500e-16  3.03949e-17      87.3000  2.11000e-16  3.54000e-17     -1.00000     -1.00000  7.71500e-18  7.63024e-18  1.91000e-17  1.88809e-17       0      3.00000
Par5   41   1.34440    9.87    1.62   -99.00   -99.00   -99.00     2.26000e-16  2.11483e-17      178.000  5.59000e-17  2.19367e-17  2.40500e-16  1.27916e-17      266.500  4.09000e-17  1.07127e-17  1.54000e-16  2.99107e-17     -1.00000     -1.00000     -1.00000     -1.00000       0      3.00000
Par5   43   1.35230   10.57    1.35   -99.00   -99.00   -99.00     2.81500e-17  4.16635e-17      21.5000  6.78500e-17  5.92939e-17  2.83000e-16  2.45367e-17      264.500  7.27000e-17  2.05769e-17  7.35000e-17  5.02046e-17     -1.00000     -1.00000     -1.00000     -1.00000       0      3.00000
Par5   52   1.94990    9.70    1.63   -99.00   -99.00   -99.00     4.38000e-16  1.20632e-17      561.000  5.54000e-17  8.86712e-18     -1.00000     -1.00000     -1.00000     -1.00000     -1.00000  1.29000e-16  1.12996e-17     -1.00000     -1.00000     -1.00000     -1.00000       0      3.00000
Par5   59   0.69120    9.42    1.03   -99.00   -99.00   -99.00     8.51000e-17  3.93151e-17      60.9000      0.00000  4.34101e-17  1.52000e-16  1.45664e-17      141.000  1.80000e-17  1.37037e-17     -1.00000     -1.00000  1.33000e-17  3.52139e-18  3.29000e-17  8.73984e-18       0      3.00000
Par5   72   1.34835    9.79    1.16   -99.00   -99.00   -99.00     4.31000e-17  3.11949e-17      118.000  3.64500e-17  4.13363e-17  1.61000e-16  1.76071e-17      400.500  4.80500e-17  1.56272e-17  5.44500e-17  3.83960e-17     -1.00000     -1.00000     -1.00000     -1.00000       0      3.00000
Par5   76   1.22380    9.56    0.72   -99.00   -99.00   -99.00     9.23500e-17  2.97834e-17      182.000      0.00000  2.55204e-17  1.25500e-16  2.15669e-17      339.500  4.80000e-17  1.94456e-17  2.55000e-16  7.34000e-17     -1.00000     -1.00000     -1.00000     -1.00000       0      3.00000
Par5   77   1.34185    9.23    1.14   -99.00   -99.00   -99.00     1.45000e-16  2.83270e-17      302.000  3.90500e-17  3.07002e-17  1.09000e-16  1.58398e-17      302.500  1.59500e-17  1.34918e-17  1.00900e-16  3.88233e-17     -1.00000     -1.00000     -1.00000     -1.00000       0      3.00000
Par5   79   0.88150    8.72    0.62   -99.00   -99.00   -99.00     5.74000e-16  2.16375e-17      870.000  7.76000e-17  2.23446e-17  3.28000e-16  1.26289e-17      848.000  3.28000e-17  1.06066e-17     -1.00000     -1.00000     -1.00000     -1.00000     -1.00000     -1.00000       0      3.00000
Par5   93   1.26925    9.29    0.82   -99.00   -99.00   -99.00     2.56000e-17  2.09230e-17      83.5000  1.75000e-17  7.75000e-18  3.97000e-17  9.14796e-18      129.000  1.00600e-17  8.64857e-18  5.29500e-17  2.89945e-17     -1.00000     -1.00000     -1.00000     -1.00000       0      3.00000
Par5   102   0.70010    8.62    0.38   -99.00   -99.00   -99.00     1.78000e-16  3.48000e-17      175.000  1.48000e-17  3.54000e-17  5.89000e-17  1.47085e-17      117.000  1.63200e-17  1.99902e-17     -1.00000     -1.00000  1.17000e-18  3.46094e-18  2.90000e-18  8.58539e-18       0      3.00000
